#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
54,"kördüğüm","Sefo,Jako",66,180,"turkish trap, turkish trap pop","Hip Hop, Pop","kördüğüm",2022-08-19,02:46,65,83,30,0,32,20,10,-5,G Minor,4,2023-12-07,6mYGCOpWCq1qtrlOr68u5p,"SONY MUSIC TURKEY",6A,https://p.scdn.co/mp3-preview/2aa73b79bfbb7eeb40e16d22417c8e9e86fd0abd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b7283ad455b6c379176a1f37
55,"After Hours","The Weeknd",86,109,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","After Hours",2020-03-20,06:01,66,57,8,1,14,0,10,-6,F Minor,4,2023-12-07,2p8IUWQDrpjuFltbdgLOag,"Republic Records",4A,,https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36
56,"BABA","Lvbel C5",70,120,"turkce drill, turkish hip hop, turkish trap","Hip Hop","BABA",2023-06-15,02:24,62,49,47,0,74,40,30,-8,F Major,5,2023-12-07,7ah5CgXHNPBtoJsdPV1AKA,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",7B,,https://i.scdn.co/image/ab67616d00004851e0c8af7c250850856ee1a987
57,"Take Me to the Moon","Kadebostany,Valeria Stoica",40,113,"swiss rock, moldovan pop","Pop, Rock","Play This at My Funerals",2023-06-02,03:12,68,54,4,24,56,0,20,-8,A Major,4,2023-12-07,5DhcFQg3nNxuyye9MyDmX4,"YENİ DÜNYA MÜZİK",11B,https://p.scdn.co/mp3-preview/fbb4c866aa94543ebaf7d6d40b671f43e05c99ae?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af537735f926e91027fbaf1c
58,"Sticky","Drake",77,137,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop","Honestly, Nevermind",2022-06-17,04:03,85,50,9,0,8,10,0,-15,F#/G♭ Major,4,2023-12-07,4rmVZajAF7PkrCagGPHbqa,"OVO",2B,,https://i.scdn.co/image/ab67616d000048518dc0d801766a5aa6a33cbe37
59,"Beggin","Cyborgs,Michael Rice",33,118,"","","Beggin",2020-09-04,02:33,65,63,1,0,7,0,0,-3,D Minor,4,2023-12-07,2O4f1CtP68UJPNLEIQzSyJ,"LoveStyle Records",7A,https://p.scdn.co/mp3-preview/441353ac38976b6eea8122b3bcc10a61f9b531c1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fb1ffb37115ddf81f113defa
60,"Feragât","Reckol,BEGE",57,107,"turkce drill, turkish hip hop, turkish trap","Hip Hop","Feragât",2022-04-01,02:32,73,46,55,0,73,0,50,-11,F Minor,4,2023-12-07,72EjrX3xp4Ea2nhQRY6LMI,"Perros Blancos & DMC",4A,https://p.scdn.co/mp3-preview/3bde154279eba3c3338a17026f6001f67afd7bd2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d69688ba3385f4fc87f1147c
61,"Bu Gece - Nostalgia Sessions","Selin",61,116,"","","Nostalgia Sessions",2023-06-05,02:57,60,80,10,0,60,0,10,-6,A Minor,4,2023-12-07,0kyGY7bztpRgb26xQbFW1b,"Warner Music Turkey",8A,https://p.scdn.co/mp3-preview/73cbdd0dcda93896210a5353823d25d9d83ce9ea?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485115dbce31dff761edfcae923c
62,"Özür","Halodayı",74,144,"turkish hip hop","Hip Hop","Özür",2023-01-27,02:15,71,52,42,0,54,10,20,-9,G Minor,4,2023-12-07,0K2nzvf5Pn6IO0Xyt36iNi,"OSC ENM.",6A,https://p.scdn.co/mp3-preview/439c85e742e4902484acdf610436abe7bf39557e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485128289683e823ac4c653d29f1
63,"Diyardan Diyara","cakal,Arem Ozguc,Arman Aydin",72,105,"turkce drill, turkish edm","Electronic","Diyardan Diyara",2022-12-23,02:29,79,70,5,0,19,10,30,-5,E Minor,4,2023-12-07,7Ebb2WheOGGauCH2wuQB55,"DOĞAN MÜZİK YAPIM",9A,https://p.scdn.co/mp3-preview/a27829270183d1c00d30852dba27b3d8ed58273f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518f3f73e31a3179dbe34e734a
